station_code,station_name,district,river,tributary,latitude,longitude,comid,streamorder,forecast_time,lead_day,meanflow_cms,returnperiod,linkage_status,distance_m
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-06T09:00:00+00:00,3,62.8,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-06T12:00:00+00:00,3,69.8,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-06T15:00:00+00:00,3,77.0,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-06T18:00:00+00:00,3,83.9,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-06T21:00:00+00:00,3,90.1,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-07T00:00:00+00:00,4,96.3,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-07T03:00:00+00:00,4,103.8,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-07T06:00:00+00:00,4,112.9,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-07T09:00:00+00:00,4,123.7,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-07T12:00:00+00:00,4,137.1,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-07T15:00:00+00:00,4,153.8,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-07T18:00:00+00:00,4,171.4,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-07T21:00:00+00:00,4,187.2,0,Linked live river forecast reach,34720.228320648675
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-08T00:00:00+00:00,5,205.0,0,Linked live river forecast reach,34720.228320648675
