station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m
MP0263_Tigra,Tigra,Panna,Ganga,Yamuna,24.295833333333327,79.96250000000002,441061458,6,8405.870043635941
MP0264_Mrhsn,Mirhasan,Panna,Ganga,Yamuna,24.1825,80.04027777777776,441061458,6,24379.09364680794
MP0270_Maihr,Maihar,Satna,Ganga,Tons,24.26166666666666,80.80611111111111,441040829,6,31684.389429457824
MP0270_Pthra,Patehera,Rewa,Ganga,Tons,24.925000000000004,81.40805555555555,441053171,6,41069.24350692594
MP0271_SnsrP,Sansarpur,Rewa,Ganga,Tons,24.740555555555552,81.4636111111111,441066959,6,45510.57034346316
MP0272_Khtkr,Khatkhari,Rewa,Ganga,Tons,24.72722222222222,81.80555555555556,441032556,6,33127.14052528362
MP0280_Jrwhi,Jarwahi,Sahodal,Ganga,Son,23.259444444444444,81.58527777777776,441080732,6,111875.41356920614
MP0280_Mrsbd,Marsiabad,Sahodal,Ganga,Son,23.764166666666668,81.19944444444444,441080732,6,42039.9901161604
MP0281_Kewai,Kewai,Anoopur,Ganga,Son,23.258333333333333,82.04444444444445,440985807,6,95288.10463177042
MP0282_Tipan,Tipan,Anoopur,Ganga,Son,23.016666666666666,81.725,440940447,6,107784.8144789028
MP0283_Kunuk,Kunuk,Sahodal,Ganga,Son,23.454166666666666,81.5875,441082108,6,90638.0489698812
MP0284_Chtwi,Chatwai,Sahodal,Ganga,Son,23.375,81.3361111111111,441080732,6,90587.39476957529
MP0285_Chndi,Choondi,Sahodal,Ganga,Son,23.65833333333333,81.54166666666666,441082108,6,66752.19441205189
MP0286_Amrpr,Amarpur,Umria,Ganga,Son,23.966666666666665,80.96666666666667,441040829,6,13749.84039125146
MP0286_Bhdra,Bhadora,Katni,Ganga,Son,23.868611111111107,80.65027777777777,441040829,6,46634.542990793954
MP0286_Ghtkw,Ghatkhirawa,Katni,Ganga,Son,23.870833333333334,80.42194444444443,441040829,6,69329.62585081163
MP0287_Odari,Odari,Sahodal,Ganga,Son,23.83333333333333,81.54166666666666,441090360,6,48209.19449367749
MP0288_Srjwn,Suhar_Jiyawan,Sidhi,Ganga,Son,24.27916666666666,82.27499999999999,441126121,6,30407.422218291264
MP0610_BLGHT,Balaghat,Balaghat,Godavari,Wainganga,21.80388888888889,80.16166666666666,440760233,6,20715.150243013453
MP0610_BNDOL,Bandol,Seoni,Godavari,Wainganga,22.23833333333333,79.5286111111111,440956950,6,86149.81216860679
MP0610_CHNDL,Chhindlai,Balaghat,Godavari,Wainganga,22.01833333333333,80.11083333333332,440760233,6,47039.29789818593
MP0610_DEGHT,Deoghat,Seoni,Godavari,Wainganga,22.385555555555555,79.81333333333333,440912919,6,53230.80136527721
MP0610_KHARI,Khairi,Balaghat,Godavari,Wainganga,21.54583333333333,79.97472222222223,440823533,6,588.4311506029227
MP0610_UGLI,Ugli,Seoni,Godavari,Wainganga,22.238611111111112,80.0875,440962463,6,52219.12764609669
MP0611_RTNPR,Ratanpur,Seoni,Godavari,Wainganga,22.18305555555555,79.96027777777778,440962463,6,66462.31729945733
MP0612_MNPUR,Manpur,Balaghat,Godavari,Wainganga,22.025,80.1525,440760233,6,47185.618457486766
MP0613_RMPLI,Rampaili,Balaghat,Godavari,Wainganga,21.76083333333333,80.0375,440840042,6,20170.546723478277
